session,file,sha256,n_rows,n_strikes,first_ts,last_ts,n_settlement_bars,oi_lot,oi_units,source,fetched_on
2024-09-05,2024-09-05_chain.parquet,68f11e79edace8e8433771ed9d813209766f004e9df62b70dc6d43315afefa21,42432,61,2024-09-05 09:15:00+05:30,2024-09-05 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-09-12,2024-09-12_chain.parquet,859548327d063138c01f74b6d20bc7cc83dc0e1a66f036d988a4166f64bc3e6f,42438,60,2024-09-12 09:15:00+05:30,2024-09-12 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-09-19,2024-09-19_chain.parquet,f87804035ecf208344687001d2cb301484410a57f09c7ce7f3c77cb74b3b5330,41853,61,2024-09-19 09:15:00+05:30,2024-09-19 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-09-26,2024-09-26_chain.parquet,b53c0ae6c0f85b2175060711920cd3b40b5af49b0c16a569c781181f5f584d8a,44178,62,2024-09-26 09:15:00+05:30,2024-09-26 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-10-03,2024-10-03_chain.parquet,5e41ec89551434ac4d81010186110c1f58e3d1ba8db49b2046f003a81972815b,44162,62,2024-10-03 09:15:00+05:30,2024-10-03 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-10-10,2024-10-10_chain.parquet,9cf36b9de56b5818a65cf9d75db068513e7030044e878810d2ca09e98cea5921,42723,60,2024-10-10 09:15:00+05:30,2024-10-10 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-10-17,2024-10-17_chain.parquet,60d345c41252fb3eeba6be917ff749fe558dbc7a98540ad257ee217d11ce1370,42871,60,2024-10-17 09:15:00+05:30,2024-10-17 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-10-24,2024-10-24_chain.parquet,61c39da09790e4f01e399cd1b4a2557a18f04ecd649d9555e81e551f2bb35deb,41521,59,2024-10-24 09:15:00+05:30,2024-10-24 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-10-31,2024-10-31_chain.parquet,df7be481c76346b69040318a58cf3c69ffbded1b421d637c370d059eee685717,42396,59,2024-10-31 09:15:00+05:30,2024-10-31 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-11-07,2024-11-07_chain.parquet,3fbcca099532d5c69ebc1f15bda4624239c932640e0f7b9c1c0a488fcd043834,43333,59,2024-11-07 09:15:00+05:30,2024-11-07 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-11-14,2024-11-14_chain.parquet,866f50c2b6e2e61b6564d989fde847137c86f269ee67736b9905a5aa175b694c,42299,57,2024-11-14 09:15:00+05:30,2024-11-14 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-11-21,2024-11-21_chain.parquet,55391b443a385683faf8227e72278ee2944c3a4a775276fec0a29dbca8a2e4a1,41346,57,2024-11-21 09:15:00+05:30,2024-11-21 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-11-28,2024-11-28_chain.parquet,4979271a5811fbca3e3d0dc3e94e8100bcb315fa8f726d5e7891d121c2790f8e,43187,58,2024-11-28 09:15:00+05:30,2024-11-28 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-12-05,2024-12-05_chain.parquet,451ffd4fd9033109557e1594587aeea10e351f22fbb775f4825f8405249b6158,42524,59,2024-12-05 09:15:00+05:30,2024-12-05 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-12-12,2024-12-12_chain.parquet,34a5d87a66c37c7ce6cde79f81e2f6378f97af886f246c91e3c857a174acaca1,43970,60,2024-12-12 09:15:00+05:30,2024-12-12 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-12-19,2024-12-19_chain.parquet,9e42e0e901ccd9b640566bd43128a50c0b51bf0005876eb3d20ac43c8167ebe7,41788,57,2024-12-19 09:15:00+05:30,2024-12-19 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-12-26,2024-12-26_chain.parquet,fc06c9a8eb65bb873621e0e0f15e73fdaa9c6f258d0dd0f99f42d60c6943dcb0,42029,57,2024-12-26 09:15:00+05:30,2024-12-26 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2025-01-02,2025-01-02_chain.parquet,926e82c453b6bc8dc7db25f0e9cb717d519896cf6fdebe67e3172ca781221598,40736,57,2025-01-02 09:15:00+05:30,2025-01-02 15:29:00+05:30,30,75,lot_multiplied,upstox-v3-historical-candle,
2025-01-09,2025-01-09_chain.parquet,ab2ce75579a66784b01b90476a6ff2b1dca4164ee70c83f771540d30414067b9,40392,57,2025-01-09 09:15:00+05:30,2025-01-09 15:29:00+05:30,30,75,lot_multiplied,upstox-v3-historical-candle,
2025-01-16,2025-01-16_chain.parquet,3299cf06f87f37a895733b1504b1c2a24efabeacb91f1856f80d10971b06ec6b,38370,56,2025-01-16 09:15:00+05:30,2025-01-16 15:29:00+05:30,30,75,lot_multiplied,upstox-v3-historical-candle,
